variable_number;variable_definition;variable_structure
0;Date;Ordinal
1;Location;Nominal
2;MinTemp;Continuous - Ratio
3;MaxTemp;Continuous - Ratio
4;Rainfall;Continuous - Ratio
5;Evaporation;Continuous - Ratio
6;Sunshine;Continuous - Ratio
7;WindGustDir;Nominal
8;WinGustSpeed;Continuous - Ratio
9;WindDir9am;Nominal
10;WindDir3pm;Nominal
11;WindSpeed9am;Continuous - Ratio
12;WindSpeed3pm;Continuous - Ratio
13;Humidity9am;Continuous - Ratio
14;Humidity3pm;Continuous - Ratio
15;Pressure9am;Continuous - Ratio
16;Pressure3pm;Continuous - Ratio
17;Cloud9am;Ordinal
18;Cloud3pm;Ordinal
19;Temp9am;Continuous - Ratio
20;Temp3pm;Continuous - Ratio
21;RainToday;Nominal
22;RainTomorrow;Nominal
23;year;Nominal
24;month;Nominal
25;day;Nominal
26;Key;Nominal
